排序组,舆情场景,场景代码,方法,参数名,参数值,干预概率,重复次数,初始极化率,无干预最终极化率,干预后最终极化率,极化率降低量,观点均值_初始,观点均值_无干预,观点均值_干预后,观点标准差_初始,观点标准差_无干预,观点标准差_干预后,干预接受率
HotRank,激烈骂战(U型),polarization,scarcity,K,10,0.1,10,59.0%,84.6%,66.8%,17.8%,0.5077,0.4783,0.4211,0.3538,0.3635,0.3187,41.3%
HotRank,激烈骂战(U型),polarization,scarcity,K,10,0.2,10,59.0%,84.6%,57.4%,27.2%,0.5077,0.4783,0.3825,0.3538,0.3635,0.2884,44.7%
HotRank,激烈骂战(U型),polarization,scarcity,K,10,0.3,10,59.0%,84.6%,51.2%,33.4%,0.5077,0.4783,0.3695,0.3538,0.3635,0.2697,46.1%
HotRank,激烈骂战(U型),polarization,scarcity,K,10,0.4,10,59.0%,84.6%,39.8%,44.8%,0.5077,0.4783,0.3796,0.3538,0.3635,0.2461,48.8%
HotRank,激烈骂战(U型),polarization,scarcity,K,10,0.5,10,59.0%,84.6%,31.0%,53.6%,0.5077,0.4783,0.3845,0.3538,0.3635,0.2314,49.9%
HotRank,激烈骂战(U型),polarization,scarcity,K,10,0.6,10,59.0%,84.6%,23.8%,60.8%,0.5077,0.4783,0.4109,0.3538,0.3635,0.2160,51.5%
HotRank,激烈骂战(U型),polarization,scarcity,K,10,0.7,10,59.0%,84.6%,16.6%,68.0%,0.5077,0.4783,0.4289,0.3538,0.3635,0.2029,52.5%
HotRank,激烈骂战(U型),polarization,scarcity,K,10,0.8,10,59.0%,84.6%,16.0%,68.6%,0.5077,0.4783,0.4460,0.3538,0.3635,0.1996,53.0%
HotRank,激烈骂战(U型),polarization,scarcity,K,10,0.9,10,59.0%,84.6%,15.0%,69.6%,0.5077,0.4783,0.4657,0.3538,0.3635,0.1951,53.4%
HotRank,激烈骂战(U型),polarization,scarcity,K,20,0.1,10,59.0%,84.6%,70.0%,14.6%,0.5077,0.4783,0.4435,0.3538,0.3635,0.3198,40.4%
HotRank,激烈骂战(U型),polarization,scarcity,K,20,0.2,10,59.0%,84.6%,61.2%,23.4%,0.5077,0.4783,0.4221,0.3538,0.3635,0.3029,42.1%
HotRank,激烈骂战(U型),polarization,scarcity,K,20,0.3,10,59.0%,84.6%,56.6%,28.0%,0.5077,0.4783,0.3719,0.3538,0.3635,0.2768,45.6%
HotRank,激烈骂战(U型),polarization,scarcity,K,20,0.4,10,59.0%,84.6%,50.4%,34.2%,0.5077,0.4783,0.3815,0.3538,0.3635,0.2660,46.8%
HotRank,激烈骂战(U型),polarization,scarcity,K,20,0.5,10,59.0%,84.6%,39.0%,45.6%,0.5077,0.4783,0.3911,0.3538,0.3635,0.2464,47.9%
HotRank,激烈骂战(U型),polarization,scarcity,K,20,0.6,10,59.0%,84.6%,35.4%,49.2%,0.5077,0.4783,0.3903,0.3538,0.3635,0.2379,49.0%
HotRank,激烈骂战(U型),polarization,scarcity,K,20,0.7,10,59.0%,84.6%,25.6%,59.0%,0.5077,0.4783,0.4025,0.3538,0.3635,0.2197,49.9%
HotRank,激烈骂战(U型),polarization,scarcity,K,20,0.8,10,59.0%,84.6%,17.6%,67.0%,0.5077,0.4783,0.4181,0.3538,0.3635,0.2060,50.6%
HotRank,激烈骂战(U型),polarization,scarcity,K,20,0.9,10,59.0%,84.6%,21.0%,63.6%,0.5077,0.4783,0.4302,0.3538,0.3635,0.2154,49.7%
HotRank,激烈骂战(U型),polarization,scarcity,K,30,0.1,10,59.0%,84.6%,74.8%,9.8%,0.5077,0.4783,0.4611,0.3538,0.3635,0.3379,39.8%
HotRank,激烈骂战(U型),polarization,scarcity,K,30,0.2,10,59.0%,84.6%,66.8%,17.8%,0.5077,0.4783,0.4155,0.3538,0.3635,0.3134,40.4%
HotRank,激烈骂战(U型),polarization,scarcity,K,30,0.3,10,59.0%,84.6%,59.4%,25.2%,0.5077,0.4783,0.4165,0.3538,0.3635,0.2995,42.2%
HotRank,激烈骂战(U型),polarization,scarcity,K,30,0.4,10,59.0%,84.6%,53.4%,31.2%,0.5077,0.4783,0.4006,0.3538,0.3635,0.2808,43.8%
HotRank,激烈骂战(U型),polarization,scarcity,K,30,0.5,10,59.0%,84.6%,48.0%,36.6%,0.5077,0.4783,0.3844,0.3538,0.3635,0.2669,45.8%
HotRank,激烈骂战(U型),polarization,scarcity,K,30,0.6,10,59.0%,84.6%,43.4%,41.2%,0.5077,0.4783,0.3812,0.3538,0.3635,0.2561,47.1%
HotRank,激烈骂战(U型),polarization,scarcity,K,30,0.7,10,59.0%,84.6%,36.0%,48.6%,0.5077,0.4783,0.3971,0.3538,0.3635,0.2464,48.4%
HotRank,激烈骂战(U型),polarization,scarcity,K,30,0.8,10,59.0%,84.6%,30.8%,53.8%,0.5077,0.4783,0.3970,0.3538,0.3635,0.2320,49.4%
HotRank,激烈骂战(U型),polarization,scarcity,K,30,0.9,10,59.0%,84.6%,19.4%,65.2%,0.5077,0.4783,0.4289,0.3538,0.3635,0.2021,52.3%
HotRank,激烈骂战(U型),polarization,suppression,Gamma,0.5,0.1,10,59.0%,84.6%,53.8%,30.8%,0.5077,0.4783,0.4228,0.3538,0.3635,0.2956,42.4%
HotRank,激烈骂战(U型),polarization,suppression,Gamma,0.5,0.2,10,59.0%,84.6%,32.6%,52.0%,0.5077,0.4783,0.4470,0.3538,0.3635,0.2408,47.7%
HotRank,激烈骂战(U型),polarization,suppression,Gamma,0.5,0.3,10,59.0%,84.6%,27.2%,57.4%,0.5077,0.4783,0.4617,0.3538,0.3635,0.2245,51.9%
HotRank,激烈骂战(U型),polarization,suppression,Gamma,0.5,0.4,10,59.0%,84.6%,23.0%,61.6%,0.5077,0.4783,0.4646,0.3538,0.3635,0.2074,55.0%
HotRank,激烈骂战(U型),polarization,suppression,Gamma,0.5,0.5,10,59.0%,84.6%,22.6%,62.0%,0.5077,0.4783,0.4813,0.3538,0.3635,0.2016,57.1%
HotRank,激烈骂战(U型),polarization,suppression,Gamma,0.5,0.6,10,59.0%,84.6%,18.6%,66.0%,0.5077,0.4783,0.4896,0.3538,0.3635,0.1869,60.0%
HotRank,激烈骂战(U型),polarization,suppression,Gamma,0.5,0.7,10,59.0%,84.6%,16.2%,68.4%,0.5077,0.4783,0.4913,0.3538,0.3635,0.1778,63.2%
HotRank,激烈骂战(U型),polarization,suppression,Gamma,0.5,0.8,10,59.0%,84.6%,15.4%,69.2%,0.5077,0.4783,0.4920,0.3538,0.3635,0.1766,64.2%
HotRank,激烈骂战(U型),polarization,suppression,Gamma,0.5,0.9,10,59.0%,84.6%,15.2%,69.4%,0.5077,0.4783,0.4960,0.3538,0.3635,0.1805,64.0%
HotRank,激烈骂战(U型),polarization,suppression,Gamma,1.0,0.1,10,59.0%,84.6%,43.8%,40.8%,0.5077,0.4783,0.4253,0.3538,0.3635,0.2725,43.9%
HotRank,激烈骂战(U型),polarization,suppression,Gamma,1.0,0.2,10,59.0%,84.6%,28.6%,56.0%,0.5077,0.4783,0.4593,0.3538,0.3635,0.2310,50.2%
HotRank,激烈骂战(U型),polarization,suppression,Gamma,1.0,0.3,10,59.0%,84.6%,26.2%,58.4%,0.5077,0.4783,0.4871,0.3538,0.3635,0.2160,53.3%
HotRank,激烈骂战(U型),polarization,suppression,Gamma,1.0,0.4,10,59.0%,84.6%,23.6%,61.0%,0.5077,0.4783,0.4910,0.3538,0.3635,0.2092,55.7%
HotRank,激烈骂战(U型),polarization,suppression,Gamma,1.0,0.5,10,59.0%,84.6%,20.8%,63.8%,0.5077,0.4783,0.4891,0.3538,0.3635,0.1927,59.5%
HotRank,激烈骂战(U型),polarization,suppression,Gamma,1.0,0.6,10,59.0%,84.6%,18.4%,66.2%,0.5077,0.4783,0.4932,0.3538,0.3635,0.1839,62.0%
HotRank,激烈骂战(U型),polarization,suppression,Gamma,1.0,0.7,10,59.0%,84.6%,17.6%,67.0%,0.5077,0.4783,0.4950,0.3538,0.3635,0.1802,63.1%
HotRank,激烈骂战(U型),polarization,suppression,Gamma,1.0,0.8,10,59.0%,84.6%,16.0%,68.6%,0.5077,0.4783,0.4936,0.3538,0.3635,0.1794,63.9%
HotRank,激烈骂战(U型),polarization,suppression,Gamma,1.0,0.9,10,59.0%,84.6%,16.2%,68.4%,0.5077,0.4783,0.4921,0.3538,0.3635,0.1814,64.0%
