排序组,舆情场景,方法,参数名,参数值,干预概率,极化率降低量,干预接受率,干预后最终极化率
HotRank,激烈骂战(U型),scarcity,K,10,0.9,69.6%,53.4%,15.0%
HotRank,饭圈控评(J型),scarcity,K,10,0.9,74.0%,50.2%,18.0%
HotRank,全网黑(反J型),suppression,Gamma,2.0,0.9,71.8%,64.0%,16.8%
HotRank,普遍好评,scarcity,K,10,0.9,68.2%,53.4%,4.8%
HotRank,普遍差评,suppression,Gamma,0.5,0.9,68.0%,70.5%,5.2%
HotRank,理性讨论(钟型),scarcity,K,10,0.9,65.6%,54.5%,4.4%
HotRank,无序状态,suppression,Gamma,0.5,0.8,69.0%,66.6%,10.2%
TimeRank,激烈骂战(U型),suppression,Gamma,0.5,0.8,61.6%,63.2%,16.2%
TimeRank,饭圈控评(J型),scarcity,K,10,0.9,66.0%,46.6%,19.6%
TimeRank,全网黑(反J型),suppression,Gamma,0.5,0.7,67.8%,63.5%,16.6%
TimeRank,普遍好评,scarcity,K,10,0.9,64.8%,49.5%,8.2%
TimeRank,普遍差评,suppression,Gamma,0.5,0.8,64.4%,70.3%,5.4%
TimeRank,理性讨论(钟型),suppression,Gamma,2.0,0.9,64.8%,70.5%,5.0%
TimeRank,无序状态,suppression,Gamma,0.5,0.8,64.0%,66.0%,10.0%
